"","EVT_mono_1","EVT_mono_2","EVT_mono_3","EVT_mono_4","EVT_EC_CO_1","EVT_EC_CO_2","EVT_EC_CO_3","EVT_EC_CO_4","EVT_EC_DSC_TRI_1","EVT_EC_DSC_TRI_2","EVT_EC_DSC_TRI_3","EVT_EC_DSC_TRI_4","EC_mono_1","EC_mono_2","EC_mono_3","EC_mono_4","EC_mono_mean","EVT_EC_CO_mean","EVT_EC_DSC_TRI_mean","EVT_mono_mean","EC_mono_sd","EVT_EC_CO_sd","EVT_EC_DSC_TRI_sd","EVT_mono_sd","ANOVA_p","ANOVA_padj","EVT_EC_CO_vs_EC_mono_Ttest_p","EVT_EC_CO_vs_EC_mono_Ttest_padj","log(EVT_EC_CO/EC_mono)","EVT_EC_DSC_TRI_vs_EC_mono_Ttest_p","EVT_EC_DSC_TRI_vs_EC_mono_Ttest_padj","log(EVT_EC_DSC_TRI/EC_mono)","EVT_mono_vs_EC_mono_Ttest_p","EVT_mono_vs_EC_mono_Ttest_padj","log(EVT_mono/EC_mono)","EVT_EC_DSC_TRI_vs_EVT_EC_CO_Ttest_p","EVT_EC_DSC_TRI_vs_EVT_EC_CO_Ttest_padj","log(EVT_EC_DSC_TRI/EVT_EC_CO)","EVT_mono_vs_EVT_EC_CO_Ttest_p","EVT_mono_vs_EVT_EC_CO_Ttest_padj","log(EVT_mono/EVT_EC_CO)","EVT_mono_vs_EVT_EC_DSC_TRI_Ttest_p","EVT_mono_vs_EVT_EC_DSC_TRI_Ttest_padj","log(EVT_mono/EVT_EC_DSC_TRI)","hclust_clusters","Z_scores_EVT_mono_1","Z_scores_EVT_mono_2","Z_scores_EVT_mono_3","Z_scores_EVT_mono_4","Z_scores_EVT_EC_CO_1","Z_scores_EVT_EC_CO_2","Z_scores_EVT_EC_CO_3","Z_scores_EVT_EC_CO_4","Z_scores_EVT_EC_DSC_TRI_1","Z_scores_EVT_EC_DSC_TRI_2","Z_scores_EVT_EC_DSC_TRI_3","Z_scores_EVT_EC_DSC_TRI_4","Z_scores_EC_mono_1","Z_scores_EC_mono_2","Z_scores_EC_mono_3","Z_scores_EC_mono_4","missing_data_EVT_mono_1","missing_data_EVT_mono_2","missing_data_EVT_mono_3","missing_data_EVT_mono_4","missing_data_EVT_EC_CO_1","missing_data_EVT_EC_CO_2","missing_data_EVT_EC_CO_3","missing_data_EVT_EC_CO_4","missing_data_EVT_EC_DSC_TRI_1","missing_data_EVT_EC_DSC_TRI_2","missing_data_EVT_EC_DSC_TRI_3","missing_data_EVT_EC_DSC_TRI_4","missing_data_EC_mono_1","missing_data_EC_mono_2","missing_data_EC_mono_3","missing_data_EC_mono_4"
"H7C402;H3BT36;Q3T0Y5;A0A3Q1LX83;A0A024RA52;P25787",-0.126184945094145,-0.0268314688091635,0.00612071336281872,-0.389570471757832,1.70125235278695,0.0543554499280781,0.770721572916305,0.477012340132251,0.165756938709844,0.605338337053702,0.110988052733322,0.289684925814775,0.276365644667862,-5.13813130727146,-4.72352146900376,-4.92120003306089,-3.62662179116706,0.750835428940896,0.292942063577911,-0.134116543074581,2.60749520096603,0.698510613850547,0.221273103259379,0.179347144926123,0.00248173556950607,0.0153156041848197,0.0176151042805394,0.284190349059369,4.37745722010796,0.024144459806924,0.179783362254634,3.91956385474497,0.0369030274312221,0.119872921320212,3.49250524809248,0.257896536669459,0.678030267502488,-0.457893365362985,0.0495062646969359,0.181522970555432,-0.884951972015476,0.0240482440428224,0.0978096648464372,-0.427058606652492,1,0.25601096875149,0.302001995881605,0.317255661489853,0.134089005319396,1.10193726633124,0.339583668127725,0.67119173086872,0.535232831407663,0.391151756980513,0.594635326686084,0.365799072655635,0.44851840010405,0.442352864246761,-2.06403428519014,-1.87211012678941,-1.96361613687119,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"A0A075B736;Q5SQY0;Q3ZCM7",-2.51093956263485,-6.26850710634911,-1.94104000122742,-2.52526852056302,-3.90894302601738,-2.45985661431548,-2.18461525909739,-3.72487249601647,-1.63390842933406,-2.22953692982174,-1.77874191899725,-2.16884657079512,-5.78250574744672,-2.13819773488788,-6.41045611367186,-2.40349841725194,-4.1836645033146,-3.06957184886168,-1.95275846223704,-3.3114387976936,2.22619404624433,0.873472713599038,0.291689041950555,1.99006771856169,0.295236714365096,0.435654176075324,0.387426242092756,0.801918619295837,1.11409265445292,0.0940742125870335,0.365299991442586,2.23090604107756,0.58036653619235,0.737263526291594,0.872225705621001,0.0514757596070237,0.444897636603562,1.11681338662463,0.831247178438712,0.906134311631389,-0.241866948831922,0.225406287349838,0.381456793976649,-1.35868033545656,NA,0.381460347682522,-1.93632644671318,0.732992465786876,0.372621792133756,-0.480872512140018,0.41296992978744,0.582747524195089,-0.367331973291365,0.922440956917058,0.555038413453683,0.833103068556507,0.592474151085156,-1.63654539990095,0.611379324792075,-2.02388509491382,0.447733452569176,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"E2QRB9;E9PIR7;F8W809;O62768;A0A087WSW9;A0A182DWI3;A0A087WSY9;Q16881",-2.98149498857645,-3.17664734488614,-2.71693522718121,-2.83768340596834,-5.27641238577433,-3.50603507423338,-2.68884480378804,-7.44604324885088,-2.52493349792674,-2.66994076593008,-2.58519312658975,-2.37418969136216,-6.72075955420711,-7.29695019617741,-4.41480973751881,-5.23777060045814,-5.91757252209037,-4.72933387816166,-2.53856427045218,-2.92819024165304,1.32516902263805,2.10870104761302,0.124684714379126,0.197815146569304,0.00783583203686789,0.0347939697783858,0.376823261111759,0.801918619295837,1.18823864392871,0.00227154488547049,0.0549713862283859,3.37900825163819,0.00427267700311218,0.0333544462823596,2.98938228043733,0.0833995905253795,0.490373957995601,2.19076960770948,0.139879387553598,0.328648658135639,1.80114363650862,0.015756960702873,0.078797197435291,-0.389625971200856,1,0.580825027036785,0.472555678186857,0.727601185110432,0.660610824659177,-0.692381287032449,0.289813354958187,0.743185582384481,-1.89607938851595,0.834122585095238,0.753673428435739,0.80069090699175,0.917754338708328,-1.49369637436501,-1.81336346319355,-0.214369340581934,-0.670943057878076,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"A0A087WTA8;P08123",-3.44496665975033,-3.3165206449694,-3.32609628755895,-2.46219389417391,-4.31943013117292,-6.86973709890287,-6.8619326031619,-5.12698449911136,-6.65242673173926,-6.22486521951006,-4.82083619444851,-4.82891151657215,-5.35662402522185,-7.87235581885271,-5.80839871182124,-6.98182373899545,-6.50480057372281,-5.79452108308726,-5.63175991556749,-3.13744437161315,1.14032793360457,1.28022852663372,0.947927121748969,0.453942368607966,0.00262723628361279,0.0155071019666901,0.43905144450762,0.807988209664212,0.710279490635549,0.283583290161763,0.601992598413567,0.873040658155317,0.00153313103606913,0.0190151575275568,3.36735620210966,0.844835844107296,0.978230977387395,0.162761167519768,0.00787166502128562,0.0604743788936863,2.65707671147411,0.0031701404255154,0.0374231211207184,2.49431554395435,2,1.14414155266467,1.22479310551442,1.21878053715488,1.76122686883712,0.595063895402196,-1.00627980951355,-1.00137934839926,0.0879986205790245,-0.869830122133314,-0.601363249425078,0.280229856522695,0.275159342889834,-0.0561925745162764,-1.63582644681559,-0.33986295599595,-1.07665927276583,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"A0A087WVV1;A0A452DHV9;Q5E9K0;P49721",-0.969016122760571,-1.31257226015186,-5.80257249669506,-1.6137667898661,-6.51425853220771,-3.43105465337125,-1.05406447183111,-2.01275263109006,-1.72552179916947,-1.71428967714703,-1.44269989814036,-1.78448927163434,-2.30372287368182,-0.436007969477288,-2.05707871368389,-1.61461972625337,-1.60285732077409,-3.25303257212503,-1.6667501615228,-2.4244819173684,0.82849368531772,2.38334790175308,0.152506971981674,2.26741253011602,0.502520939694327,0.620459527581771,0.23875435184517,0.711589585040478,-1.65017525135094,0.88440335554857,0.968441683451376,-0.0638928407487074,0.521445193358744,0.685813786917479,-0.821624596594307,0.232330028332433,0.669171023370127,1.58628241060223,0.632401875233271,0.765206269032258,0.828550654756634,0.529656174391244,0.678184096310481,-0.7577317558456,NA,0.759692839698547,0.553820878198198,-2.1367587832601,0.37333361024751,-2.56322824241728,-0.715654698654312,0.708728620056106,0.134246052774799,0.306365739588948,0.313096456176145,0.475843426590088,0.27103017750806,-0.040114431760435,1.07909168626065,0.107684170811312,0.372822498181766,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"A0A087X0S5;P12109",-0.199632856435926,-0.256773691128668,-0.425321229660451,-0.142962833837583,-0.147234834476446,-0.829516922803755,-1.3264654561647,-0.29681778989886,-0.325355118046634,0,-0.455427651629133,0.240538600477169,-2.56656682216886,-4.53253805412787,-4.6489429088022,-3.6955870176588,-3.86090870068943,-0.65000875083594,-0.135061042299649,-0.256172652765657,0.961723463186151,0.537693321465742,0.315258188600397,0.121962854978312,2.16874067669615e-06,0.000116630054168993,0.00112262568978181,0.0543350833854398,3.21089994985349,0.000321532828175505,0.0222316984052777,3.72584765838978,0.000304370081729543,0.0118333951692333,3.60473604792377,0.149555205985702,0.593317374566229,0.51494770853629,0.203038175653481,0.399473483806036,0.393836098070283,0.500562549152986,0.658348570081644,-0.121111610466007,1,0.615993387018542,0.58168379822245,0.480481273430604,0.650020281845498,0.647455205818097,0.23778639332484,-0.0606009145280653,0.55763975739065,0.540504831039747,0.735860750723258,0.462404201868358,0.880289520732239,-0.805206207080424,-1.98565211614287,-2.0555461371039,-1.48311402655903,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"A0A087X0T8;A0A3Q1MPQ1;A0A087X1W8;A0A0A0MTJ8;Q2TBL2;X5DQS5;Q9BY67",-2.59348320330868,-4.39897952646537,-2.4194300125987,-3.01757205533191,-2.14781016270906,-2.81608770581499,-2.56589093050052,-2.62935886168334,-1.4512148637648,-2.39566354576454,-2.229077216724,-4.722076293604,-1.11188861177202,-1.96349290553345,-1.67919399680947,-2.21362708693808,-1.74205065026326,-2.53978691517698,-2.69950797996434,-3.10736619942617,0.473454032152687,0.282071181677861,1.40980433991002,0.896968952592433,0.221292004532605,0.362791976261353,0.0275129019232329,0.359248472951581,-0.797736264913724,0.245312285264445,0.553823484141683,-0.95745732970108,0.0359446064867004,0.119872921320212,-1.36531554916291,0.831541391485188,0.97449402779378,-0.159721064787356,0.272759642362748,0.46457985301049,-0.567579284249185,0.642753797031256,0.759277956125382,-0.407858219461829,NA,-0.0759579633079758,-1.99926361859406,0.1094522652921,-0.527718776652646,0.398795415250629,-0.31308749554319,-0.0465652840466113,-0.114174522242012,1.14084382638379,0.13476950326265,0.31222565458665,-2.34344257452564,1.50231124732194,0.595139444615851,0.89798896689263,0.328683911305896,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Q3ZBX9;A1A4R1;P0C0S9;F2Z4J1;F2Z4G5;F1MLQ1;E1BH22;A4IFU5;A0A0A0MP93;A0A0A0MP90;F1MRN2;A0A3Q1N7K2;A0A3Q1MF62;A0A096LNF2;A0A3Q1MDK7;A0A0U1RR32;A0A0U1RRH7;Q99878;Q96KK5;Q9BTM1;Q16777;Q93077;Q7L7L0;Q6FI13;P20671;P0C0S8;P04908;H0YFX9;A0A3Q1N0B0;C9J0D1;A0A494C189;Q32LA7;P0C0S4;F2Z4I6;A0A3B3IS11;Q71UI9;P0C0S5;Q8IUE6;Q96QV6;P16104",-5.98135582726565,2.05002215845192,-6.04552820627934,-1.37847063194289,0.620812094888905,0.915814860292468,2.16017901991413,0.432261851380201,0.819570787132051,-1.95607139768875,0.993854847989571,0.694366370921042,-0.768032479512495,1.92517075220833,1.76013645123913,0.731787886816871,0.912265652687958,1.03226695661893,0.137930152088478,-2.83883312675899,1.23839084685468,0.777827732174563,1.40139273539981,3.92393963902861,0.0933522993459493,0.201874486981776,0.875029547084386,0.959269230186032,0.120001303930967,0.43930672210313,0.752114973756674,-0.774335500599481,0.118085985862354,0.258613652295833,-3.75109877944695,0.307120587722557,0.709090039957361,-0.894336804530448,0.101083162974197,0.271801393775062,-3.87110008337792,0.202976885055583,0.362512222756096,-2.97676327884747,NA,-2.26807048113305,0.876767829952387,-2.29319839273112,-0.465723520310028,0.317133534259324,0.432647459785815,0.919901837437946,0.243303111833044,0.39496126832178,-0.69189405043078,0.463205496469299,0.345935105499201,-0.226694888893946,0.827879894874998,0.763257585570904,0.360588209494229,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A0A0A0MPA0",6.87847210104251,7.59933222687865,7.21459926712129,7.14060535603024,6.99784352570041,7.12244090866262,6.73653422609391,6.88179174935411,6.94251484032979,7.04577861007378,7.1272408483825,7.1760296968151,7.01737044365499,7.07390853539636,7.09742034291443,6.66691594677931,6.96390381718627,6.93465260245276,7.07289099890029,7.20825223776817,0.200821791634445,0.164623511455122,0.102183693248615,0.297945678411307,0.270085723199423,0.404710495444336,0.829229273312382,0.951431670746748,-0.0292512147335104,0.370712713098951,0.683527149727765,0.108987181714021,0.222676111161214,0.391909955643736,0.2443484205819,0.203507332169505,0.640025387072134,0.138238396447531,0.159065421536662,0.34369492867743,0.27359963531541,0.423076478634043,0.578443547058973,0.135361238867879,NA,-0.779111174426122,2.5949992956757,0.794190149511823,0.447848853623807,-0.220372579609247,0.3628270167236,-1.44347594201896,-0.763572986470129,-0.479348058922149,0.00399587173461188,0.385293964588014,0.613658606244002,-0.128973463528383,0.135662851433342,0.245713932183221,-1.7693363367431,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"G8JL96;A0A0A0MR60;A0A3Q1MJQ2;A0A3Q1LNY4;E1BIU8;A0A3Q1N3J5;A0A3Q1MZF8;Q13332",-5.74043019718956,-5.09409236201298,-5.00232698791138,-6.00679078289125,-5.67485875061015,-3.66313942338112,-5.38678609835125,-6.01694884297795,-4.60464982073866,-6.26000662272455,-6.09087634580466,-5.53702313530845,-5.6631211948405,-5.33755221854936,-4.75919529833996,-6.01818563104521,-5.44451358569375,-5.18543327883012,-5.62313898114408,-5.46091008250129,0.534786808437879,1.04703979009302,0.745903198357358,0.490228153781981,0.866404598558503,0.911608316744164,0.674849542312013,0.89790379955145,0.259080306863637,0.710535176674741,0.907035093711396,-0.178625395450323,0.965413306727465,0.981865804188615,-0.0163964968075385,0.521297284369572,0.846670757164003,-0.43770570231396,0.650539037934055,0.781292541836434,-0.275476803671175,0.728690958688854,0.825963522260903,0.162228898642785,NA,-0.458919460489979,0.491985726967705,0.626992785990266,-0.850794496876798,-0.362449433039969,2.59723239256187,0.0613688311698645,-0.865739238628323,1.21206341100591,-1.22333071948266,-0.974502863636445,-0.159662911079667,-0.345180905557922,0.133802702675314,0.9846930044614,-0.867558826040559,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
