ID_list,EVTs_mono_1.1,EVT_Mono_1.2,EVT_Mono_1.3,EVT_Mono_1.4,ECs_mono_2.1,ECs_mono_2.2,ECs_mono_2.3,ECs_mono_2.4,EVTs_ECs_Coculture__3.1,EVTs_ECs_Coculture__3.2,EVTs_ECs_Coculture__3.3,EVTs_ECs_Coculture__3.4,EVTs_ECs_DSCs_triculture_4.1,EVTs_ECs_DSCs_triculture_4.2,EVTs_ECs_DSCs_triculture_4.3,EVTs_ECs_DSCs_triculture_4.4,EVTs_mean,ECs_mean,EVT_ECs_mean,EVTs_Ecs_DSCs_mean,EVTs_sd,ECs_sd,EVT_ECs_sd,EVTs_Ecs_DSCs_sd,ANOVA_p,hclust_clusters,Z_scores_EVTs_mono_1.1,Z_scores_EVTs_mono_1.2,Z_scores_EVTs_mono_1.3,Z_scores_EVTs_mono_1.4,Z_scores_ECs_mono_2.1,Z_scores_ECs_mono_2.2,Z_scores_ECs_mono_2.3,Z_scores_ECs_mono_2.4,Z_scores_EVTs_ECs_Coculture__3.1,Z_scores_EVTs_ECs_Coculture__3.2,Z_scores_EVTs_ECs_Coculture__3.3,Z_scores_EVTs_ECs_Coculture__3.4,Z_scores_EVTs_ECs_DSCs_triculture_4.1,Z_scores_EVTs_ECs_DSCs_triculture_4.2,Z_scores_EVTs_ECs_DSCs_triculture_4.3,Z_scores_EVTs_ECs_DSCs_triculture_4.4,ECs_vs_EVTs_Ttest_p,log(Ecs/EVTs),ECs_EVTs_vs_EVTs_mono_Ttest_p,log(Ecs_EVTs/EVTs_mono_),ECs_EVTs_DSCs_vs_EVTs_mono_Ttest_p,log(ECs_EVTs_DSCs/EVTs_mono),ECs_EVTs_DSCs_vs_ECs_EVTs_Ttest_p,log(ECs_EVTs_DSCs/ECs_EVTs),ECs_mono_vs_EVTs_ECs_Ttest_p,log(ECs_mono/EVTs_ECs_),ECs_mono_vs_ECs_EVTs_DSCs_Ttest_p,log(ECs_mono_vs_ECs_EVTs_DSCs_),Z_scores_EVTs_mono_1.1,Z_scores_EVTs_mono_1.2,Z_scores_EVTs_mono_1.3,Z_scores_EVTs_mono_1.4,Z_scores_ECs_mono_2.1,Z_scores_ECs_mono_2.2,Z_scores_ECs_mono_2.3,Z_scores_ECs_mono_2.4,Z_scores_EVTs_ECs_Coculture__3.1,Z_scores_EVTs_ECs_Coculture__3.2,Z_scores_EVTs_ECs_Coculture__3.3,Z_scores_EVTs_ECs_Coculture__3.4,Z_scores_EVTs_ECs_DSCs_triculture_4.1,Z_scores_EVTs_ECs_DSCs_triculture_4.2,Z_scores_EVTs_ECs_DSCs_triculture_4.3,Z_scores_EVTs_ECs_DSCs_triculture_4.4
H7C402;H3BT36;Q3T0Y5;A0A3Q1LX83;A0A024RA52;P25787,-0.1,0.0,0.0,-0.4,0.3,-5.9,-4.7,-5.6,1.7,0.1,0.8,0.5,0.2,0.7,0.1,0.3,-0.1,-4.0,0.8,0.3,0.18,2.88,0.68,0.23,0.0026,1,0.28,0.30,0.32,0.15,0.44,-2.17,-1.67,-2.05,1.05,0.36,0.65,0.54,0.41,0.59,0.37,0.44,0.0376,-3.84,0.0430,0.91,0.0233,0.44,0.2448,-0.47,0.0185,-4.74,0.0253,-4.28,0.28,0.30,0.32,0.15,0.44,,,,1.05,0.36,0.65,0.54,0.41,0.59,0.37,0.44
A0A075B736;Q5SQY0;Q3ZCM7,-0.1,-0.3,-0.4,-0.1,-4.5,-5.7,-4.4,-4.3,-0.1,-0.8,-1.3,-0.2,-0.3,0.0,-0.4,0.2,-0.2,-4.7,-0.6,-0.1,0.13,0.66,0.54,0.31,0.0000,1,0.63,0.57,0.50,0.64,-1.52,-2.12,-1.50,-1.41,0.64,0.32,0.06,0.58,0.57,0.73,0.49,0.82,0.0000,-4.49,0.2302,-0.37,0.4497,0.13,0.1552,0.51,0.0001,-4.11,0.0000,-4.62,0.63,0.57,0.50,0.64,,,,,0.64,0.32,0.06,0.58,0.57,0.73,0.49,0.82
E2QRB9;E9PIR7;F8W809;O62768;A0A087WSW9;A0A182DWI3;A0A087WSY9;Q16881,-1.5,0.0,-0.1,-0.6,-0.3,-0.7,-1.4,-1.1,0.5,0.6,0.6,0.2,0.5,0.4,0.6,0.7,-0.6,-0.9,0.5,0.5,0.66,0.46,0.20,0.13,0.0009,1,-1.86,0.09,0.03,-0.67,-0.31,-0.77,-1.75,-1.29,0.79,0.93,1.00,0.38,0.77,0.67,0.92,1.08,0.4633,-0.32,0.0272,1.01,0.0194,1.07,0.6271,0.06,0.0019,-1.32,0.0012,-1.39,-1.86,0.09,0.03,-0.67,-0.31,-0.77,-1.75,-1.29,0.79,0.93,1.00,0.38,0.77,0.67,0.92,1.08
A0A087WTA8;P08123,-1.6,-1.6,-2.7,-2.8,-5.5,-6.8,-5.1,-5.1,-0.9,-1.0,-1.4,-3.7,-0.2,-0.6,-0.7,-0.6,-2.2,-5.6,-1.7,-0.5,0.66,0.82,1.31,0.20,0.0000,1,0.45,0.42,-0.10,-0.12,-1.43,-2.05,-1.22,-1.23,0.76,0.73,0.55,-0.56,1.08,0.92,0.86,0.93,0.0006,-3.46,0.5732,0.44,0.0030,1.65,0.1177,1.21,0.0024,-3.90,0.0000,-5.11,0.45,0.42,-0.10,-0.12,,,,,0.76,0.73,0.55,-0.56,1.08,0.92,0.86,0.93
A0A087WVV1;A0A452DHV9;Q5E9K0;P49721,-2.4,-3.5,-3.8,-3.0,-3.9,-3.3,-4.1,-3.5,-2.5,-2.0,-3.6,-3.7,-1.6,-2.5,-1.2,-2.9,-3.2,-3.7,-2.9,-2.0,0.62,0.36,0.82,0.77,0.0282,1,0.65,-0.66,-0.99,-0.03,-1.06,-0.41,-1.33,-0.59,0.50,1.15,-0.71,-0.81,1.60,0.53,2.04,0.12,0.2076,-0.51,0.6482,0.25,0.0601,1.14,0.1612,0.90,0.1420,-0.76,0.0080,-1.65,0.65,,-0.99,-0.03,-1.06,-0.41,-1.33,-0.59,0.50,1.15,-0.71,-0.81,1.60,0.53,2.04,0.12
A0A087X0S5;P12109,1.4,1.0,1.3,1.3,1.3,0.9,0.8,1.2,1.4,1.3,1.4,1.5,1.4,1.5,1.5,1.7,1.3,1.0,1.4,1.5,0.16,0.23,0.09,0.12,0.0072,1,0.46,-1.15,0.03,0.06,-0.09,-1.61,-2.31,-0.59,0.22,0.05,0.45,0.89,0.55,0.71,0.66,1.69,0.1523,-0.23,0.2090,0.13,0.0525,0.25,0.1690,0.12,0.0268,-0.36,0.0110,-0.48,0.46,-1.15,0.03,0.06,-0.09,-1.61,-2.31,-0.59,0.22,0.05,0.45,0.89,0.55,0.71,0.66,1.69
A0A087X0T8;A0A3Q1MPQ1;A0A087X1W8;A0A0A0MTJ8;Q2TBL2;X5DQS5;Q9BY67,-3.0,-2.4,-2.0,-3.1,-7.6,-6.8,-5.5,-4.3,-2.7,-3.6,-3.6,-2.4,-2.1,-1.8,-2.6,-1.4,-2.6,-6.0,-3.1,-2.0,0.53,1.44,0.62,0.49,0.0001,1,0.25,0.56,0.82,0.18,-2.32,-1.87,-1.18,-0.48,0.40,-0.09,-0.12,0.57,0.76,0.93,0.47,1.11,0.0043,-3.42,0.2910,-0.47,0.1200,0.65,0.0289,1.13,0.0094,-2.95,0.0017,-4.08,0.25,0.56,0.82,0.18,-2.32,,,,0.40,-0.09,-0.12,0.57,0.76,0.93,0.47,1.11
Q3ZBX9;A1A4R1;P0C0S9;F2Z4J1;F2Z4G5;F1MLQ1;E1BH22;A4IFU5;A0A0A0MP93;A0A0A0MP90;F1MRN2;A0A3Q1N7K2;A0A3Q1MF62;A0A096LNF2;A0A3Q1MDK7;A0A0U1RR32;A0A0U1RRH7;Q99878;Q96KK5;Q9BTM1;Q16777;Q93077;Q7L7L0;Q6FI13;P20671;P0C0S8;P04908;H0YFX9;A0A3Q1N0B0;C9J0D1;A0A494C189;Q32LA7;P0C0S4;F2Z4I6;A0A3B3IS11;Q71UI9;P0C0S5;Q8IUE6;Q96QV6;P16104,-2.1,-1.8,-1.6,-2.3,-3.7,-2.2,-6.8,-4.7,-1.9,-2.0,-2.8,-2.0,-1.3,-1.4,-1.6,-1.5,-1.9,-4.4,-2.2,-1.4,0.29,1.93,0.40,0.12,0.0067,1,0.28,0.47,0.58,0.14,-0.86,0.19,-2.97,-1.52,0.37,0.34,-0.20,0.33,0.83,0.71,0.64,0.67,0.0482,-2.41,0.3925,-0.23,0.0180,0.50,0.0130,0.73,0.0684,-2.18,0.0234,-2.92,0.28,0.47,0.58,0.14,-0.86,0.19,,-1.52,0.37,0.34,-0.20,0.33,0.83,0.71,0.64,0.67
A0A0A0MPA0,0.3,-1.5,0.2,0.1,-1.2,-2.1,-4.1,-2.2,-0.5,-0.2,-0.5,-0.2,0.4,0.2,-0.4,0.1,-0.2,-2.4,-0.3,0.1,0.84,1.22,0.17,0.33,0.0023,1,0.81,-0.61,0.80,0.65,-0.39,-1.11,-2.77,-1.23,0.23,0.43,0.17,0.45,0.93,0.73,0.28,0.65,0.0257,-2.19,0.8053,-0.11,0.5482,0.29,0.0790,0.40,0.0152,-2.08,0.0080,-2.48,0.81,-0.61,0.80,0.65,-0.39,-1.11,-2.77,-1.23,0.23,0.43,0.17,0.45,0.93,0.73,0.28,0.65
G8JL96;A0A0A0MR60;A0A3Q1MJQ2;A0A3Q1LNY4;E1BIU8;A0A3Q1N3J5;A0A3Q1MZF8;Q13332,-0.5,-0.3,-0.6,-1.4,-6.0,-5.1,-5.0,-5.5,-0.1,-0.9,-0.3,-0.4,-0.6,-0.6,-0.7,0.2,-0.7,-5.4,-0.4,-0.4,0.50,0.47,0.36,0.41,0.0000,1,0.55,0.65,0.49,0.13,-1.93,-1.49,-1.48,-1.69,0.76,0.38,0.65,0.62,0.53,0.52,0.45,0.87,0.0000,-4.66,0.3300,0.32,0.3839,0.30,0.9437,-0.02,0.0000,-4.99,0.0000,-4.97,0.55,0.65,0.49,0.13,,,,,0.76,0.38,0.65,0.62,0.53,0.52,0.45,0.87
